INDEX,TAG,DATE,TIME,LATITUDE N/S,LONGITUDE E/W,HEIGHT,SPEED,HEADING
1,T,230513,115442,52.8352255N,1.3120495W,71,0.0,113
2,T,230513,115443,52.8352257N,1.3120497W,72,0.0,113
3,T,230513,115443,52.8352258N,1.3120497W,72,0.0,113
4,T,230513,115443,52.8352257N,1.3120498W,72,0.0,113
5,T,230513,115443,52.8352258N,1.3120498W,72,0.0,113
6,T,230513,115443,52.8352257N,1.3120497W,72,0.0,113
7,T,230513,115444,52.8352257N,1.3120497W,72,0.0,113
8,T,230513,115444,52.8352255N,1.3120497W,72,0.0,113
9,T,230513,115444,52.8352257N,1.3120497W,72,0.0,113
10,T,230513,115444,52.8352257N,1.3120497W,72,0.0,113
11,T,230513,115444,52.8352257N,1.3120496W,72,0.0,113
12,T,230513,115445,52.8352257N,1.3120497W,72,0.1,113
13,T,230513,115445,52.8352254N,1.3120495W,71,0.1,113
14,T,230513,115445,52.8352254N,1.3120493W,71,0.1,113
15,T,230513,115445,52.8352254N,1.3120493W,71,0.1,113
16,T,230513,115445,52.8352254N,1.3120493W,71,0.1,113
17,T,230513,115446,52.8352257N,1.3120497W,72,0.0,113
18,T,230513,115446,52.8352255N,1.3120496W,72,0.0,113
19,T,230513,115446,52.8352255N,1.3120496W,72,0.0,113
20,T,230513,115446,52.8352255N,1.3120496W,72,0.0,113
21,T,230513,115446,52.8352255N,1.3120496W,72,0.0,113
22,T,230513,115447,52.8352257N,1.3120497W,72,0.0,113
23,T,230513,115447,52.8352255N,1.3120496W,72,0.0,113
24,T,230513,115447,52.8352255N,1.3120496W,72,0.0,113
25,T,230513,115447,52.8352255N,1.3120496W,72,0.0,113
26,T,230513,115447,52.8352255N,1.3120496W,72,0.0,113
27,T,230513,115448,52.8352257N,1.3120497W,72,0.0,113
28,T,230513,115448,52.8352257N,1.3120496W,72,0.0,113
29,T,230513,115448,52.8352257N,1.3120496W,72,0.0,113
