INDEX,TAG,DATE,TIME,LATITUDE N/S,LONGITUDE E/W,HEIGHT,SPEED,HEADING
1,T,230513,000002,52.8353728N,1.3126870W,77,0.1,275
2,T,230513,000003,52.8353728N,1.3126888W,77,2.2,275
3,T,230513,000003,52.8353726N,1.3126868W,77,2.2,275
4,T,230513,000003,52.8353725N,1.3126842W,77,2.2,275
5,T,230513,000003,52.8353726N,1.3126811W,77,2.2,275
6,T,230513,000003,52.8353725N,1.3126776W,77,2.2,275
7,T,230513,000004,52.8353798N,1.3126927W,77,4.0,85
8,T,230513,000004,52.8353798N,1.3126882W,77,4.0,85
9,T,230513,000004,52.8353799N,1.3126832W,77,4.0,85
10,T,230513,000004,52.8353800N,1.3126720W,77,4.0,85
11,T,230513,000005,52.8353801N,1.3126657W,77,5.9,87
12,T,230513,000005,52.8353800N,1.3126592W,77,5.9,87
13,T,230513,000005,52.8353801N,1.3126523W,77,5.9,87
14,T,230513,000005,52.8353800N,1.3126451W,77,5.9,87
15,T,230513,000005,52.8353801N,1.3126378W,77,5.9,87
16,T,230513,000006,52.8353800N,1.3126300W,76,7.7,88
17,T,230513,000006,52.8353799N,1.3126223W,77,7.7,88
18,T,230513,000006,52.8353799N,1.3126143W,77,7.7,88
19,T,230513,000006,52.8353799N,1.3126059W,77,7.7,88
20,T,230513,000006,52.8353799N,1.3125973W,77,7.7,88
21,T,230513,000007,52.8353797N,1.3125879W,76,9.8,88
22,T,230513,000007,52.8353796N,1.3125789W,76,9.8,88
23,T,230513,000007,52.8353796N,1.3125697W,76,9.8,88
24,T,230513,000007,52.8353796N,1.3125599W,76,9.8,88
25,T,230513,000007,52.8353794N,1.3125498W,76,9.8,88
26,T,230513,000008,52.8353796N,1.3125394W,76,11.2,88
27,T,230513,000008,52.8353793N,1.3125290W,76,11.2,88
28,T,230513,000008,52.8353794N,1.3125181W,76,11.2,88
29,T,230513,000008,52.8353797N,1.3125069W,76,11.2,88
30,T,230513,000008,52.8353800N,1.3124955W,76,11.2,88
31,T,230513,000009,52.8353806N,1.3124841W,76,12.7,85
32,T,230513,000009,52.8353811N,1.3124723W,76,12.7,85
33,T,230513,000009,52.8353821N,1.3124604W,76,12.7,85
34,T,230513,000009,52.8353832N,1.3124482W,76,12.7,85
35,T,230513,000009,52.8353848N,1.3124357W,76,12.7,85
