INDEX,TAG,DATE,TIME,LATITUDE N/S,LONGITUDE E/W,HEIGHT,SPEED,HEADING
1,T,230512,092751,52.8351855N,1.3120231W,72,0.0,85
2,T,230512,092752,52.8351855N,1.3120232W,72,0.0,85
3,T,230512,092752,52.8351856N,1.3120232W,72,0.0,85
4,T,230512,092752,52.8351855N,1.3120234W,72,0.0,85
5,T,230512,092752,52.8351855N,1.3120232W,72,0.0,85
6,T,230512,092752,52.8351855N,1.3120234W,72,0.0,85
7,T,230512,092753,52.8351855N,1.3120232W,72,0.0,85
8,T,230512,092753,52.8351855N,1.3120232W,72,0.0,85
9,T,230512,092753,52.8351855N,1.3120232W,72,0.0,85
10,T,230512,092753,52.8351855N,1.3120231W,72,0.0,85
11,T,230512,092753,52.8351855N,1.3120232W,72,0.0,85
12,T,230512,092754,52.8351855N,1.3120232W,72,0.0,85
13,T,230512,092754,52.8351855N,1.3120231W,72,0.0,85
14,T,230512,092754,52.8351855N,1.3120231W,72,0.0,85
15,T,230512,092754,52.8351855N,1.3120232W,72,0.0,85
16,T,230512,092754,52.8351856N,1.3120232W,72,0.0,85
17,T,230512,092755,52.8351855N,1.3120232W,72,0.1,85
18,T,230512,092755,52.8351856N,1.3120231W,72,0.1,85
19,T,230512,092755,52.8351856N,1.3120231W,72,0.1,85
20,T,230512,092755,52.8351855N,1.3120232W,72,0.1,85
21,T,230512,092755,52.8351856N,1.3120231W,72,0.1,85
22,T,230512,092756,52.8351855N,1.3120232W,72,0.1,85
23,T,230512,092756,52.8351855N,1.3120232W,72,0.1,85
24,T,230512,092756,52.8351855N,1.3120232W,72,0.1,85
25,T,230512,092756,52.8351855N,1.3120232W,72,0.1,85
26,T,230512,092756,52.8351856N,1.3120232W,72,0.1,85
27,T,230512,092757,52.8351855N,1.3120232W,72,0.0,85
28,T,230512,092757,52.8351855N,1.3120231W,72,0.0,85
29,T,230512,092757,52.8351855N,1.3120231W,72,0.0,85
30,T,230512,092757,52.8351855N,1.3120234W,72,0.0,85
31,T,230512,092757,52.8351856N,1.3120232W,72,0.0,85
32,T,230512,092758,52.8351855N,1.3120232W,72,0.0,85
33,T,230512,092758,52.8351856N,1.3120232W,72,0.0,85
34,T,230512,092758,52.8351856N,1.3120232W,72,0.0,85
