INDEX,TAG,DATE,TIME,LATITUDE N/S,LONGITUDE E/W,HEIGHT,SPEED,HEADING
1,T,230513,142842,52.8352003N,1.3120906W,71,0.3,176
2,T,230513,142843,52.8352001N,1.3120902W,71,0.1,176
3,T,230513,142843,52.8352001N,1.3120905W,71,0.1,176
4,T,230513,142843,52.8352001N,1.3120906W,71,0.1,176
5,T,230513,142843,52.8352001N,1.3120906W,71,0.1,176
6,T,230513,142843,52.8352003N,1.3120905W,71,0.1,176
7,T,230513,142844,52.8352001N,1.3120902W,71,0.3,176
8,T,230513,142844,52.8352001N,1.3120906W,71,0.3,176
9,T,230513,142844,52.8352003N,1.3120906W,71,0.3,176
10,T,230513,142844,52.8352003N,1.3120906W,71,0.3,176
11,T,230513,142844,52.8352003N,1.3120906W,71,0.3,176
12,T,230513,142845,52.8352001N,1.3120902W,71,0.3,176
13,T,230513,142845,52.8352003N,1.3120905W,71,0.3,176
14,T,230513,142845,52.8352001N,1.3120905W,71,0.3,176
15,T,230513,142845,52.8352003N,1.3120905W,71,0.3,176
16,T,230513,142845,52.8352003N,1.3120905W,71,0.3,176
17,T,230513,142846,52.8352001N,1.3120902W,71,0.3,176
18,T,230513,142846,52.8352003N,1.3120906W,71,0.3,176
19,T,230513,142846,52.8352003N,1.3120905W,71,0.3,176
20,T,230513,142846,52.8352003N,1.3120906W,71,0.3,176
21,T,230513,142846,52.8352004N,1.3120906W,71,0.3,176
22,T,230513,142847,52.8352001N,1.3120902W,71,0.5,176
23,T,230513,142847,52.8352003N,1.3120905W,71,0.5,176
24,T,230513,142847,52.8352004N,1.3120905W,71,0.5,176
25,T,230513,142847,52.8352003N,1.3120905W,71,0.5,176
26,T,230513,142847,52.8352003N,1.3120905W,71,0.5,176
27,T,230513,142848,52.8352001N,1.3120902W,71,0.3,176
28,T,230513,142848,52.8352003N,1.3120906W,71,0.3,176
29,T,230513,142848,52.8352003N,1.3120906W,71,0.3,176
30,T,230513,142848,52.8352003N,1.3120906W,71,0.3,176
31,T,230513,142848,52.8352003N,1.3120906W,71,0.3,176
32,T,230513,142849,52.8352001N,1.3120902W,71,0.3,176
33,T,230513,142849,52.8352004N,1.3120906W,71,0.3,176
34,T,230513,142849,52.8352003N,1.3120906W,71,0.3,176
35,T,230513,142849,52.8352004N,1.3120906W,71,0.3,176
36,T,230513,142849,52.8352003N,1.3120906W,71,0.3,176
37,T,230513,142850,52.8352001N,1.3120902W,71,0.1,176
38,T,230513,142850,52.8352003N,1.3120905W,71,0.1,176
39,T,230513,142850,52.8352003N,1.3120906W,71,0.1,176
40,T,230513,142850,52.8352003N,1.3120906W,71,0.1,176
41,T,230513,142850,52.8352003N,1.3120906W,71,0.1,176
42,T,230513,142851,52.8352001N,1.3120902W,71,0.3,176
43,T,230513,142851,52.8352001N,1.3120903W,71,0.3,176
44,T,230513,142851,52.8352003N,1.3120905W,71,0.3,176
45,T,230513,142851,52.8352003N,1.3120903W,71,0.3,176
46,T,230513,142851,52.8352003N,1.3120905W,71,0.3,176
47,T,230513,142852,52.8352001N,1.3120902W,71,0.3,176
48,T,230513,142852,52.8352003N,1.3120905W,71,0.3,176
49,T,230513,142852,52.8352003N,1.3120906W,71,0.3,176
50,T,230513,142852,52.8352003N,1.3120906W,71,0.3,176
51,T,230513,142852,52.8352004N,1.3120906W,71,0.3,176
52,T,230513,142853,52.8352001N,1.3120902W,71,0.3,176
53,T,230513,142853,52.8352001N,1.3120905W,71,0.3,176
54,T,230513,142853,52.8352001N,1.3120905W,71,0.3,176
55,T,230513,142853,52.8352003N,1.3120906W,71,0.3,176
56,T,230513,142853,52.8352003N,1.3120906W,71,0.3,176
