INDEX,TAG,DATE,TIME,LATITUDE N/S,LONGITUDE E/W,HEIGHT,SPEED,HEADING
1,T,230513,214140,52.8348702N,1.3122437W,76,5.3,251
2,T,230513,214141,52.8348679N,1.3122504W,75,7.2,248
3,T,230513,214141,52.8348660N,1.3122581W,76,7.2,248
4,T,230513,214141,52.8348637N,1.3122662W,76,7.2,248
5,T,230513,214141,52.8348612N,1.3122744W,76,7.2,248
6,T,230513,214141,52.8348585N,1.3122830W,76,7.2,248
7,T,230513,214142,52.8348550N,1.3122924W,76,10.3,239
8,T,230513,214142,52.8348512N,1.3123019W,76,10.3,239
9,T,230513,214142,52.8348469N,1.3123115W,76,10.3,239
10,T,230513,214142,52.8348422N,1.3123210W,76,10.3,239
11,T,230513,214142,52.8348371N,1.3123308W,76,10.3,239
12,T,230513,214143,52.8348315N,1.3123408W,76,13.1,226
13,T,230513,214143,52.8348253N,1.3123509W,76,13.1,226
14,T,230513,214143,52.8348190N,1.3123601W,76,13.1,226
15,T,230513,214143,52.8348120N,1.3123694W,76,13.1,226
16,T,230513,214143,52.8348045N,1.3123791W,76,13.1,226
17,T,230513,214144,52.8347961N,1.3123891W,76,16.2,214
18,T,230513,214144,52.8347882N,1.3123981W,76,16.2,214
19,T,230513,214144,52.8347798N,1.3124071W,76,16.2,214
20,T,230513,214144,52.8347710N,1.3124158W,76,16.2,214
21,T,230513,214144,52.8347620N,1.3124244W,76,16.2,214
22,T,230513,214145,52.8347524N,1.3124336W,76,19.0,209
23,T,230513,214145,52.8347430N,1.3124420W,76,19.0,209
24,T,230513,214145,52.8347333N,1.3124501W,76,19.0,209
25,T,230513,214145,52.8347235N,1.3124582W,76,19.0,209
26,T,230513,214145,52.8347132N,1.3124662W,76,19.0,209
27,T,230513,214146,52.8347016N,1.3124754W,76,21.2,205
28,T,230513,214146,52.8346909N,1.3124827W,76,21.2,205
29,T,230513,214146,52.8346800N,1.3124904W,76,21.2,205
30,T,230513,214146,52.8346692N,1.3124978W,76,21.2,205
31,T,230513,214146,52.8346581N,1.3125051W,76,21.2,205
32,T,230513,214147,52.8346469N,1.3125135W,76,22.9,201
33,T,230513,214147,52.8346354N,1.3125201W,76,22.9,201
34,T,230513,214147,52.8346238N,1.3125268W,76,22.9,201
35,T,230513,214147,52.8346120N,1.3125332W,76,22.9,201
36,T,230513,214147,52.8345999N,1.3125395W,76,22.9,201
37,T,230513,214148,52.8345876N,1.3125463W,76,24.0,198
38,T,230513,214148,52.8345757N,1.3125524W,76,24.0,198
39,T,230513,214148,52.8345637N,1.3125585W,76,24.0,198
40,T,230513,214148,52.8345516N,1.3125644W,76,24.0,198
41,T,230513,214148,52.8345397N,1.3125705W,76,24.0,198
42,T,230513,214149,52.8345274N,1.3125755W,76,24.4,195
43,T,230513,214149,52.8345158N,1.3125805W,76,24.4,195
44,T,230513,214149,52.8345040N,1.3125866W,76,24.4,195
45,T,230513,214149,52.8344920N,1.3125925W,76,24.4,195
46,T,230513,214149,52.8344804N,1.3125983W,76,24.4,195
47,T,230513,214150,52.8344680N,1.3126046W,76,24.4,196
48,T,230513,214150,52.8344564N,1.3126103W,76,24.4,196
49,T,230513,214150,52.8344449N,1.3126161W,76,24.4,196
50,T,230513,214150,52.8344335N,1.3126219W,76,24.4,196
51,T,230513,214150,52.8344219N,1.3126275W,76,24.4,196
52,T,230513,214151,52.8344099N,1.3126336W,76,24.2,196
53,T,230513,214151,52.8343985N,1.3126389W,76,24.2,196
54,T,230513,214151,52.8343870N,1.3126442W,76,24.2,196
55,T,230513,214151,52.8343757N,1.3126496W,76,24.2,196
56,T,230513,214151,52.8343645N,1.3126543W,76,24.2,196
